0.000000e+0	9.390689e-1	1.000000e+0	
1.600000e-2	9.011378e-1	9.165840e-1	
3.200000e-2	8.426169e-1	8.295746e-1	
4.800000e-2	7.676287e-1	7.409477e-1	
6.400000e-2	6.838909e-1	6.518077e-1	
8.000000e-2	5.934223e-1	5.854534e-1	
9.600000e-2	5.126357e-1	5.122552e-1	
1.120000e-1	4.598410e-1	4.823075e-1	
1.280000e-1	4.238150e-1	4.507387e-1	
1.440000e-1	3.949159e-1	3.926657e-1	
1.600000e-1	3.694256e-1	3.625090e-1	
1.760000e-1	3.386942e-1	3.234554e-1	
1.920000e-1	3.073672e-1	3.063150e-1	
2.080000e-1	2.809661e-1	2.851210e-1	
2.240000e-1	2.576639e-1	2.557683e-1	
2.400000e-1	2.374483e-1	2.416394e-1	
2.560000e-1	2.198284e-1	2.130152e-1	
2.720000e-1	2.034458e-1	2.139395e-1	
2.880000e-1	1.888051e-1	1.919507e-1	
3.040000e-1	1.763136e-1	1.745154e-1	
3.200000e-1	1.652578e-1	1.518427e-1	
3.360000e-1	1.553358e-1	1.572239e-1	
3.520000e-1	1.457299e-1	1.526817e-1	
3.680000e-1	1.354316e-1	1.384436e-1	
3.840000e-1	1.252114e-1	1.223304e-1	
4.000000e-1	1.156480e-1	1.130896e-1	
4.160000e-1	1.072632e-1	1.024556e-1	
4.320000e-1	1.009305e-1	1.073417e-1	
4.480000e-1	9.583439e-2	9.882851e-2	
4.640000e-1	9.111848e-2	9.086129e-2	
4.800000e-1	8.667643e-2	8.506586e-2	
4.960000e-1	8.212024e-2	7.590669e-2	
5.120000e-1	7.742482e-2	8.466517e-2	
5.280000e-1	7.284081e-2	7.117939e-2	
5.440000e-1	6.775793e-2	6.359556e-2	
5.600000e-1	6.159970e-2	6.270845e-2	
5.760000e-1	5.502871e-2	5.381195e-2	
5.920000e-1	4.843510e-2	5.744221e-2	
6.080000e-1	4.259840e-2	4.494499e-2	
6.240000e-1	3.851976e-2	3.459458e-2	
6.400000e-1	3.541853e-2	2.881769e-2	
6.560000e-1	3.274632e-2	2.838752e-2	
6.720000e-1	2.981505e-2	2.861956e-2	
6.880000e-1	2.564223e-2	3.126160e-2	
7.040000e-1	2.114191e-2	3.296858e-2	
7.200000e-1	1.691664e-2	1.236716e-2	
7.360000e-1	1.388605e-2	5.195780e-3	
7.520000e-1	1.333034e-2	1.949446e-2	
7.680000e-1	1.389438e-2	1.041504e-2	
7.840000e-1	1.451945e-2	1.743350e-2	
8.000000e-1	1.417724e-2	1.211420e-2	
8.160000e-1	1.132700e-2	7.522411e-3	
8.320000e-1	7.231897e-3	9.732551e-3	
8.480000e-1	3.138157e-3	9.777076e-3	
8.640000e-1	-5.984556e-4	-2.496514e-3	
8.800000e-1	-3.134041e-3	-8.791959e-3	
8.960000e-1	-4.832295e-3	-3.040768e-3	
9.120000e-1	-6.330250e-3	-5.935326e-3	
9.280000e-1	-7.122269e-3	-9.003008e-3	
9.440000e-1	-6.861881e-3	1.308812e-3	
9.600000e-1	-6.097262e-3	-1.649950e-2	
9.760000e-1	-5.084151e-3	-3.484248e-3	
9.920000e-1	-4.561927e-3	5.835307e-3	
1.010000e+0	-5.456796e-3	-8.654358e-3	
1.020000e+0	-7.043913e-3	-1.461553e-2	
1.040000e+0	-8.737189e-3	-1.159247e-2	
1.060000e+0	-1.011094e-2	-3.683648e-3	
1.070000e+0	-1.045972e-2	-8.185610e-3	
1.090000e+0	-1.029818e-2	-1.073062e-2	
1.100000e+0	-1.008716e-2	-1.166047e-2	
1.120000e+0	-1.005803e-2	-1.483449e-2	
1.140000e+0	-1.065291e-2	-8.802363e-3	
1.150000e+0	-1.145797e-2	-9.309075e-3	
1.170000e+0	-1.208637e-2	-4.848040e-3	
1.180000e+0	-1.235671e-2	-1.591328e-2	
1.200000e+0	-1.192088e-2	-1.966934e-2	
1.220000e+0	-1.107215e-2	-1.258463e-2	
1.230000e+0	-1.018278e-2	4.595920e-4	
1.250000e+0	-9.175599e-3	-1.260479e-2	
1.260000e+0	-8.085536e-3	-8.670566e-3	
1.280000e+0	-7.076512e-3	-1.240146e-2	
1.300000e+0	-6.111350e-3	-1.779006e-3	
1.310000e+0	-5.681869e-3	-3.394788e-3	
1.330000e+0	-6.320188e-3	6.050420e-4	
1.340000e+0	-7.449400e-3	-1.656453e-2	
1.360000e+0	-8.700850e-3	-1.794209e-2	
1.380000e+0	-9.452385e-3	-4.720856e-3	
1.390000e+0	-8.887372e-3	-2.242177e-3	
1.410000e+0	-7.666679e-3	-8.787592e-3	
1.420000e+0	-6.255305e-3	-1.556828e-3	
1.440000e+0	-5.246036e-3	-1.196871e-2	
1.460000e+0	-5.491645e-3	-5.898548e-3	
1.470000e+0	-6.181668e-3	-5.068149e-3	
1.490000e+0	-6.735660e-3	-4.337702e-3	
1.500000e+0	-6.462137e-3	-9.335722e-3	
1.520000e+0	-4.337652e-3	-1.013370e-3	
1.540000e+0	-1.401027e-3	-3.053013e-3	
1.550000e+0	1.409201e-3	-2.251485e-3	
1.570000e+0	3.603480e-3	3.169139e-3	
1.580000e+0	4.293961e-3	6.873520e-3	
1.600000e+0	4.023943e-3	7.467511e-3	
1.620000e+0	3.574679e-3	1.026418e-3	
1.630000e+0	2.548287e-3	5.050552e-3	
1.650000e+0	7.723853e-4	-1.438140e-4	
1.660000e+0	-1.179570e-3	1.562930e-4	
1.680000e+0	-3.187917e-3	-1.281395e-2	
1.700000e+0	-4.093848e-3	1.964440e-4	
1.710000e+0	-2.553858e-3	8.806550e-4	
